1	TableName	FieldName	FieldDescription	Unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	LegacyName	DataType	DataSize
2	Site	Park	Four letter park code						Text	5
3	Site	Subunit	Section of the park where site is located						Text	100
4	Site	SiteShort	Site code without the Park and Site Type prefix						Text	20
5	Site	SiteCode	Unique alphanumeric site code					Site	Text	24
6	Site	SiteName	Descriptive name of the site						Text	50
7	Site	SiteLabel	Combination of [SiteShort] and [SiteName] for visualization purposes						Text	75
8	Site	SampleFrame	"Type of hydrologic feature (e.g., lake, stream)"					SiteType	Text	25
9	Site	SiteProtectedStatus	Level of protection for sensitive resources						Text	25
10	Site	Lat_WGS84	Latitude in WGS84 coordinate system	degree					Decimal	6
11	Site	Lon_WGS84	Longitude in WGS84 coordinate system	degree					Decimal	6
12	Site	X_UTM_NAD83_11N	X UTM value in NAD83 coordinate system	meter					Decimal	2
13	Site	Y_UTM_NAD83_11N	Y UTM value in NAD83 coordinate system	meter					Decimal	2
14	Visit	Park	Four letter park code						Text	5
15	Visit	Subunit	Section of the park where site is located						Text	100
16	Visit	SiteShort	Site code without the Park and Site Type prefix					Site	Text	20
17	Visit	SiteCode	Unique alphanumeric site code						Text	24
18	Visit	SiteName	Descriptive name of the site						Text	50
19	Visit	VisitDate	Date that the monitoring occured		YYYY-MM-DD				Date	
20	Visit	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th					WaterYear	Text	8
21	Visit	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"						Text	25
22	Visit	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample						Text	35
23	Visit	SampleFrame	"Type of hydrologic feature (e.g., lake, stream)"					SiteType	Text	25
24	Visit	IsLakeDry	Was lake dry during this site visit						Bit	
25	Visit	SiteProtectedStatus	Is the location of this site protected						Text	25
26	Visit	CloudCover	"Cloud cover during visit [Sunny, Partly Cloudy, Mostly Cloudy, Overcast]"						Text	30
27	Visit	Precipitation	"Precipitation during visit [Heavy, Moderate, Light, None]"						Text	30
28	Visit	Temperature	"Temperature (F) during visit [<35, 36-50,51-65,66-80,>80]"						Text	30
29	Visit	WindSpeed	"Wind during visit [Calm, Light Breeze, Moderate Wind, Gusty]"						Text	30
30	Visit	Protocol	Protocol package used for this visit						Text	200
31	Visit	DataStoreReferenceCode	Datastore reference number for protocol package	dimensionless					Integer	2
32	Visit	Notes	Notes about this visit						Text	500
33	Visit	DataProcessingLevel	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"						Text	20
34	BMI	Park	Four letter park code						Text	5
36	BMI	SiteShort	Site code without the Park and Site Type prefix					Site	Text	20
35	BMI	SiteCode	Unique alphanumeric site code						Text	24
37	BMI	SiteName	Descriptive name of the site						Text	50
38	BMI	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th					WaterYear	Text	8
39	BMI	VisitDate	Date that the monitoring occured		YYYY-MM-DD				Date/Time	8
40	BMI	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"						Text	25
41	BMI	SampleType	"Type of sample: Routine, Field Blank, Field Replicate, Lab Duplicate"						Text	50
42	BMI	SampleCollectionMethod	"Sample collection method: Kicknet, Dipnet, Other, Unknown"						Text	50
43	BMI	DPL	Data Processing Level: Raw - entered into database; Provisional - data have undergone the first review; Accepted - provisional data have gone through the data certification process						Text	20
44	BMI	BMIMethod	"BMI Sample collection method: EMAP, Channel, Shallow Pool, Large Pool, Multi-Pool Grab, Unkown"						Text	25
45	BMI	LabSampleNumber	Sample number assigned by the lab						Text	16
46	BMI	DateCollected	Date and time of the sample collection		YYYY-MM-DD				Date/Time	8
47	BMI	FieldSplit	% sample submitted for processing	percent					Integer	2
48	BMI	LabSplit	% sample processed to obtain 600 random individuals (if present)	percent					Decimal	16
49	BMI	SampleArea_m2	Total area sampled in square meters	meterSquared					Decimal	16
50	BMI	Abundance	Estimated # of individuals per square meter for quantitative samples	numberPerMeterSquared					Long Integer	4
51	BMI	Richness	"# of unique taxa, standardized to operational taxonomic unit (OTU)"	number					Long Integer	4
52	BMI	DominantTaxaPercent	([DominantTaxaAbundance]/[Abundance])*100	percent					Double	8
53	BMI	LabNotes	Notes from the lab						Memo	-
54	BMI	FieldNotes	Notes from the field						Memo	-
55	BMI	SplitCount	# of organisms randomly subsampled from [LabSplit] for identification	number					Integer	2
56	BMI	FixedCount	# of computationally resampled organisms	number					Integer	2
57	BMI	BigRareCount	"# of """"""""big and rare"""""""" organisms selected non-randomly for identification from the sample"	number					Integer	2
58	BMI	ShannonsDiversity	Measure of richness and evenness (based on relative abundance of each species); weighted toward rare species	dimensionless					Decimal	16
59	BMI	SimpsonsDiversity	Measure of richness and evenness (based on relative abundance of each species); weighted toward common species	dimensionless					Decimal	16
60	BMI	Evenness	Measure of relative abundance indicative of taxa dominance [Shannon's Diversity]/ln([Richness])	dimensionless					Decimal	16
61	BMI	EPTTaxaCount	"Richness of Ephemeroptera, Plecoptera, and Trichoptera taxa"	number					Integer	2
62	BMI	EPTTaxaAbundance	"Abundance of Ephemeroptera, Plecoptera, and Trichoptera taxa"	number					Long Integer	4
63	BMI	DominantFamilyAbundance	Abundance of the dominant family	number					Long Integer	4
64	BMI	DominantFamily	Taxonomic family with the highest abundance						Text	100
65	BMI	DominantTaxa	Taxon with the highest abundance						Text	100
66	BMI	DominantTaxaAbundance	Abundance of dominant taxon	number					Long Integer	4
67	BMI	Hilsenhoff	Abundance-weighted average of family-level pollution tolerances	number					Decimal	16
68	BMI	IntolerantTaxaCount	# of taxa with a Hilsenhoff Biotic Index score of <= 2	number					Integer	2
69	BMI	IntolerantTaxaAbundance	Abundance of taxa with a Hilsenhoff Biotic Index score of <= 2	number					Long Integer	4
70	BMI	TolerantTaxaCount	# of taxa with a Hilsenhoff Biotic Index score of >=8	number					Integer	2
71	BMI	TolerantTaxaAbundance	Abundance of taxa with a Hilsenhoff Biotic Index score of >=8	number					Long Integer	4
72	BMI	USFSCommunityToleranceQuo	Dominance weighted community tolerance quotient	number					Integer	2
73	BMI	ShredderTaxaCount	# of taxa utilizing living or decomposing vascular plant tissue and coarse particulate organic matter (CPOM)	number					Integer	2
74	BMI	ShredderAbundance	Abundance of taxa utilizing valsular plant tissue and coarse particulate organic matter (CPOM)	number					Long Integer	4
75	BMI	ScraperTaxaCount	"# of taxa utilizing periphyton, particularly algae and diatoms"	number					Integer	2
76	BMI	ScraperAbundance	"Abundance of taxa utilizing periphyton, particularly algae and diatoms"	number					Long Integer	4
77	BMI	CollectorFiltererCount	# of taxa utilizing fine particulate organic matter in the water column	number					Integer	2
78	BMI	CollectorFiltererAbundance	Abundance of taxa utilizing fine particulate organic matter in the water column	number					Long Integer	4
79	BMI	CollectorGathererCount	# of taxa utilizing fine particulate organic matter from benthic deposits	number					Integer	2
80	BMI	CollectorGathererAbundance	Abundance of taxa utilizing fine particulate organic matter from benthic deposits	number					Long Integer	4
81	BMI	PredatorTaxaCount	# of taxa utilizing living animal tissue	number					Integer	2
82	BMI	PredatorTaxaAbundance	Abundance of taxa utilizing living animal tissue	number					Long Integer	4
83	BMI	ClingerTaxaCount	# of taxa with fixed retreats or other strategies for clinging to rocks	number					Integer	2
84	BMI	LongLivedTaxa	# of taxa with 2 to 3 year life cycles	number					Integer	2
85	BMI	EphemeropteraTaxaCount	# of Ephemeroptera taxa in the sample	number					Integer	2
86	BMI	EphemeropteraTaxaAbundance	Abundance of Ephemeroptera	number					Long Integer	4
87	BMI	PlecopteraTaxa	# of Plecoptera taxa in the sample	number					Integer	2
88	BMI	PlecopteraTaxaAbundance	Abundance of Plecoptera	number					Long Integer	4
89	BMI	TrichopteraTaxaCount	# of Tricoptera taxa in the sample	number					Integer	2
90	BMI	TrichopteraAbundance	Abundance of Tricoptera	number					Long Integer	4
91	BMI	ColeopteraTaxaCount	# of Coleoptera taxa in the sample	number					Integer	2
92	BMI	ColeopteraAbundance	Abundance of Coleoptera	number					Long Integer	4
93	BMI	ElmidaeTaxaCount	# of Elmidae taxa in the sample	number					Integer	2
94	BMI	ElmidaeAbundance	Abundance of Elmidae	number					Long Integer	4
95	BMI	MegalopteraTaxaCount	# of Megaloptera taxa in the sample	number					Integer	2
96	BMI	MegalopteraAbundance	Abundance of Megaloptera	number					Long Integer	4
97	BMI	DipteraTaxaCount	# of Diptera taxa in the sample	number					Integer	2
98	BMI	DipteraAbundance	Abundance of Diptera	number					Long Integer	4
99	BMI	ChironomidaeTaxaCount	# of Chironomidae taxa in the sample	number					Integer	2
100	BMI	ChironomidaeAbundance	Abundance of Chironomidae	number					Long Integer	4
101	BMI	CrustaceaTaxaCount	# of Crustacea taxa in the sample	number					Integer	2
102	BMI	CrustaceaAbundance	Abundance of Crustacea	number					Long Integer	4
103	BMI	OligochaeteTaxaCount	# of Oligochaete taxa in the sample	number					Integer	2
104	BMI	OligochaeteAbundance	Abundance of Oligochaete	number					Long Integer	4
105	BMI	MolluscaTaxaCount	# of Mollusca taxa in the sample	number					Integer	2
106	BMI	MolluscaAbundance	Abundance of Mollusca	number					Long Integer	4
107	BMI	InsectTaxaCount	# of insect taxa in the sample	number					Integer	2
