tableName	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	LegacyName	DataType	DataSize	Sort
Site	Park	Four letter park code	character						Text	5	2
Site	Subunit	Section of the park where site is located	character						Text	100	3
Site	SiteShort	Site code without the Park and Site Type prefix	character						Text	20	4
Site	SiteCode	Unique alphanumeric site code	character					Site	Text	24	5
Site	SiteName	Descriptive name of the site	character						Text	50	6
Site	SiteLabel	Combination of [SiteShort] and [SiteName] for visualization purposes	character						Text	75	7
Site	SampleFrame	"Type of hydrologic feature (e.g., lake, stream)"	character					SiteType	Text	25	8
Site	SiteProtectedStatus	Level of protection for sensitive resources	character						Text	25	9
Site	Lat_WGS84	Latitude in WGS84 coordinate system	numeric	degree					Decimal	6	10
Site	Lon_WGS84	Longitude in WGS84 coordinate system	numeric	degree					Decimal	6	11
Site	X_UTM_NAD83_11N	X UTM value in NAD83 coordinate system	numeric	meter					Decimal	2	12
Site	Y_UTM_NAD83_11N	Y UTM value in NAD83 coordinate system	numeric	meter					Decimal	2	13
Visit	Park	Four letter park code	character						Text	5	14
Visit	Subunit	Section of the park where site is located	character						Text	100	15
Visit	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	16
Visit	SiteCode	Unique alphanumeric site code	character						Text	24	17
Visit	SiteName	Descriptive name of the site	character						Text	50	18
Visit	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		19
Visit	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	20
Visit	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	21
Visit	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character						Text	35	22
Visit	SampleFrame	"Type of hydrologic feature (e.g., lake, stream)"	character					SiteType	Text	25	23
Visit	IsLakeDry	Was lake dry during this site visit	character						Bit		24
Visit	SiteProtectedStatus	Is the location of this site protected	character						Text	25	25
Visit	CloudCover	"Cloud cover during visit [Sunny, Partly Cloudy, Mostly Cloudy, Overcast]"	character						Text	30	26
Visit	Precipitation	"Precipitation during visit [Heavy, Moderate, Light, None]"	character						Text	30	27
Visit	Temperature	"Temperature (F) during visit [<35, 36-50,51-65,66-80,>80]"	character						Text	30	28
Visit	WindSpeed	"Wind during visit [Calm, Light Breeze, Moderate Wind, Gusty]"	character						Text	30	29
Visit	Protocol	Protocol package used for this visit	character						Text	200	30
Visit	DataStoreReferenceCode	Datastore reference number for protocol package	numeric	dimensionless					Integer	2	31
Visit	Notes	Notes about this visit	character						Text	500	32
Visit	DataProcessingLevel	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	33
BMI	Park	Four letter park code	character						Text	5	34
BMI	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	36
BMI	SiteCode	Unique alphanumeric site code	character						Text	24	35
BMI	SiteName	Descriptive name of the site	character						Text	50	37
BMI	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	38
BMI	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date/Time	8	39
BMI	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	40
BMI	SampleType	"Type of sample: Routine, Field Blank, Field Replicate, Lab Duplicate"	character						Text	50	41
BMI	SampleCollectionMethod	"Sample collection method: Kicknet, Dipnet, Other, Unknown"	character						Text	50	42
BMI	DPL	Data Processing Level: Raw - entered into database; Provisional - data have undergone the first review; Accepted - provisional data have gone through the data certification process	character						Text	20	43
BMI	BMIMethod	"BMI Sample collection method: EMAP, Channel, Shallow Pool, Large Pool, Multi-Pool Grab, Unkown"	character						Text	25	44
BMI	LabSampleNumber	Sample number assigned by the lab	character						Text	16	45
BMI	DateCollected	Date and time of the sample collection	Date		YYYY-MM-DD				Date/Time	8	46
BMI	FieldSplit	% sample submitted for processing	numeric	percent					Integer	2	47
BMI	LabSplit	% sample processed to obtain 600 random individuals (if present)	numeric	percent					Decimal	16	48
BMI	SampleArea_m2	Total area sampled in square meters	numeric	meterSquared					Decimal	16	49
BMI	Abundance	Estimated # of individuals per square meter for quantitative samples	numeric	numberPerMeterSquared					Long Integer	4	50
BMI	Richness	"# of unique taxa, standardized to operational taxonomic unit (OTU)"	numeric	number					Long Integer	4	51
BMI	DominantTaxaPercent	([DominantTaxaAbundance]/[Abundance])*100	numeric	percent					Double	8	52
BMI	LabNotes	Notes from the lab	character						Memo	-	53
BMI	FieldNotes	Notes from the field	character						Memo	-	54
BMI	SplitCount	# of organisms randomly subsampled from [LabSplit] for identification	numeric	number					Integer	2	55
BMI	FixedCount	# of computationally resampled organisms	numeric	number					Integer	2	56
BMI	BigRareCount	"# of """"""""big and rare"""""""" organisms selected non-randomly for identification from the sample"	numeric	number					Integer	2	57
BMI	ShannonsDiversity	Measure of richness and evenness (based on relative abundance of each species); weighted toward rare species	numeric	dimensionless					Decimal	16	58
BMI	SimpsonsDiversity	Measure of richness and evenness (based on relative abundance of each species); weighted toward common species	numeric	dimensionless					Decimal	16	59
BMI	Evenness	Measure of relative abundance indicative of taxa dominance [Shannon's Diversity]/ln([Richness])	numeric	dimensionless					Decimal	16	60
BMI	EPTTaxaCount	"Richness of Ephemeroptera, Plecoptera, and Trichoptera taxa"	numeric	number					Integer	2	61
BMI	EPTTaxaAbundance	"Abundance of Ephemeroptera, Plecoptera, and Trichoptera taxa"	numeric	number					Long Integer	4	62
BMI	DominantFamilyAbundance	Abundance of the dominant family	numeric	number					Long Integer	4	63
BMI	DominantFamily	Taxonomic family with the highest abundance	character						Text	100	64
BMI	DominantTaxa	Taxon with the highest abundance	character						Text	100	65
BMI	DominantTaxaAbundance	Abundance of dominant taxon	numeric	number					Long Integer	4	66
BMI	Hilsenhoff	Abundance-weighted average of family-level pollution tolerances	numeric	number					Decimal	16	67
BMI	IntolerantTaxaCount	# of taxa with a Hilsenhoff Biotic Index score of <= 2	numeric	number					Integer	2	68
BMI	IntolerantTaxaAbundance	Abundance of taxa with a Hilsenhoff Biotic Index score of <= 2	numeric	number					Long Integer	4	69
BMI	TolerantTaxaCount	# of taxa with a Hilsenhoff Biotic Index score of >=8	numeric	number					Integer	2	70
BMI	TolerantTaxaAbundance	Abundance of taxa with a Hilsenhoff Biotic Index score of >=8	numeric	number					Long Integer	4	71
BMI	USFSCommunityToleranceQuo	Dominance weighted community tolerance quotient	numeric	number					Integer	2	72
BMI	ShredderTaxaCount	# of taxa utilizing living or decomposing vascular plant tissue and coarse particulate organic matter (CPOM)	numeric	number					Integer	2	73
BMI	ShredderAbundance	Abundance of taxa utilizing valsular plant tissue and coarse particulate organic matter (CPOM)	numeric	number					Long Integer	4	74
BMI	ScraperTaxaCount	"# of taxa utilizing periphyton, particularly algae and diatoms"	numeric	number					Integer	2	75
BMI	ScraperAbundance	"Abundance of taxa utilizing periphyton, particularly algae and diatoms"	numeric	number					Long Integer	4	76
BMI	CollectorFiltererCount	# of taxa utilizing fine particulate organic matter in the water column	numeric	number					Integer	2	77
BMI	CollectorFiltererAbundance	Abundance of taxa utilizing fine particulate organic matter in the water column	numeric	number					Long Integer	4	78
BMI	CollectorGathererCount	# of taxa utilizing fine particulate organic matter from benthic deposits	numeric	number					Integer	2	79
BMI	CollectorGathererAbundance	Abundance of taxa utilizing fine particulate organic matter from benthic deposits	numeric	number					Long Integer	4	80
BMI	PredatorTaxaCount	# of taxa utilizing living animal tissue	numeric	number					Integer	2	81
BMI	PredatorTaxaAbundance	Abundance of taxa utilizing living animal tissue	numeric	number					Long Integer	4	82
BMI	ClingerTaxaCount	# of taxa with fixed retreats or other strategies for clinging to rocks	numeric	number					Integer	2	83
BMI	LongLivedTaxa	# of taxa with 2 to 3 year life cycles	numeric	number					Integer	2	84
BMI	EphemeropteraTaxaCount	# of Ephemeroptera taxa in the sample	numeric	number					Integer	2	85
BMI	EphemeropteraTaxaAbundance	Abundance of Ephemeroptera	numeric	number					Long Integer	4	86
BMI	PlecopteraTaxa	# of Plecoptera taxa in the sample	numeric	number					Integer	2	87
BMI	PlecopteraTaxaAbundance	Abundance of Plecoptera	numeric	number					Long Integer	4	88
BMI	TrichopteraTaxaCount	# of Tricoptera taxa in the sample	numeric	number					Integer	2	89
BMI	TrichopteraAbundance	Abundance of Tricoptera	numeric	number					Long Integer	4	90
BMI	ColeopteraTaxaCount	# of Coleoptera taxa in the sample	numeric	number					Integer	2	91
BMI	ColeopteraAbundance	Abundance of Coleoptera	numeric	number					Long Integer	4	92
BMI	ElmidaeTaxaCount	# of Elmidae taxa in the sample	numeric	number					Integer	2	93
BMI	ElmidaeAbundance	Abundance of Elmidae	numeric	number					Long Integer	4	94
BMI	MegalopteraTaxaCount	# of Megaloptera taxa in the sample	numeric	number					Integer	2	95
BMI	MegalopteraAbundance	Abundance of Megaloptera	numeric	number					Long Integer	4	96
BMI	DipteraTaxaCount	# of Diptera taxa in the sample	numeric	number					Integer	2	97
BMI	DipteraAbundance	Abundance of Diptera	numeric	number					Long Integer	4	98
BMI	ChironomidaeTaxaCount	# of Chironomidae taxa in the sample	numeric	number					Integer	2	99
BMI	ChironomidaeAbundance	Abundance of Chironomidae	numeric	number					Long Integer	4	100
BMI	CrustaceaTaxaCount	# of Crustacea taxa in the sample	numeric	number					Integer	2	101
BMI	CrustaceaAbundance	Abundance of Crustacea	numeric	number					Long Integer	4	102
BMI	OligochaeteTaxaCount	# of Oligochaete taxa in the sample	numeric	number					Integer	2	103
BMI	OligochaeteAbundance	Abundance of Oligochaete	numeric	number					Long Integer	4	104
BMI	MolluscaTaxaCount	# of Mollusca taxa in the sample	numeric	number					Integer	2	105
BMI	MolluscaAbundance	Abundance of Mollusca	numeric	number					Long Integer	4	106
BMI	InsectTaxaCount	# of insect taxa in the sample	numeric	number					Integer	2	107
BMI	InsectAbundance	Abundance of insects	numeric	number					Long Integer	4	108
BMI	NonInsectTaxaCount	# of non-insect taxa in the sample	numeric	number					Integer	2	109
BMI	NonInsectAbundance	Abundance of non-insects	numeric	number					Long Integer	4	110
BMI	LabName	Name of lab analyzing samples	character						Text	255	111
Channel	Park	Four letter park code	character						Text	5	112
Channel	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	113
Channel	SiteCode	Unique alphanumeric site code	character						Text	24	114
Channel	SiteName	Descriptive name of the site	character						Text	50	115
Channel	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	116
Channel	VisitDate	Date of visit	Date		YYYY-MM-DD				Date/Time	8	117
Channel	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	118
Channel	Transect	Transect where channel characteristics were observed; ordered alphabetically from downstream to upstream	character						Text	10	119
Channel	TransectSide	"Right, center, or left side of channel, or unknown or not applicable"	character						Text	50	120
Channel	ChannelType	"Flow characteristic at the sample location: Pool, Glide, Riffle, Rapid"	character						Text	50	121
Channel	Substrate	"Material along the bottom of the channel at the sample location: Fine/Sand, Gravel, Coarse, Other"	character						Text	50	122
Channel	Notes	Notes about the channel data	character						Memo	-	123
Chemistry	Park	Four letter park code	character						Text	5	124
Chemistry	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	125
Chemistry	SiteCode	Unique alphanumeric site code	character						Text	24	126
Chemistry	SiteName	Descriptive name of the site	character						Text	50	127
Chemistry	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	128
Chemistry	SampleFrame	"Type of hydrologic feature (e.g., lake, stream)"	character					SiteType	Text	25	129
Chemistry	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date/Time	8	130
Chemistry	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	131
Chemistry	SampleCollectionMethod	"Sample Collection Method: Grab, Bottle, Composite, Other, Unknown"	character						Text	50	132
Chemistry	Characteristic	"Water chemistry parameter code; e.g., UTP, SO42-"	character						Text	8	133
