tableName	fileName	tableDescription
Site	Site.csv	A full description of each of the site codes used in this dataset (Streams and Lakes)
Visit	Visit.csv	General attributes of the monitoring site visit (Streams and Lakes)
BMI	BMI.csv	All benthic macroinvertebrate data from all sites (Streams)
Channel	Channel.csv	Channel characteristics associated with the BMI measurements (Streams)
Chemistry	Chemistry.csv	Laboratory analysis of water chemistry (Streams and Lakes)
Clarity	Clarity.csv	Depth and secchi depth measurements (Lakes)
LakeLevelString	LakeLevelString.csv	Lake level measured using a string-based survey
LakeLevelSurvey	LakeLevelSurvey.csv	Lake level measured using a theodolite-based survey
WaterQualityDO	WaterQualityDO.csv	Dissolved oxygen measured in situ through a depth profile (Lakes)
WaterQualitypH	WaterQualitypH.csv	pH measured in situ through a depth profile (Lakes)
WaterQualitySpCond	WaterQualitySpCond.csv	Specific conductance measured in situ through a depth profile (Lakes)
WaterQualityTemperature	WaterQualityTemperature.csv	Temperature measured in situ through a depth profile (Lakes)
WQStreamXSection	WQStreamXSection.csv	In situ water quality measured through stream crosssections (Streams)
LakeLevel_CALCULATED	LakeLevel_CALCULATED.csv	The calculated lake surface level calculated from the raw data in LakeLevel String and LakeLevelSurvey using the MOJN Streams and Lakes R package (Lakes)
WaterQuality_CALCULATED	WaterQuality_CALCULATED.csv	The median water quality values calculated from the four raw WaterQuality data tables (Lakes)
WQStreamXSection_CALCULATED	WQStreamXSection_CALCULATED.csv	The median water quality values calculated from the raw values in the WQStreamXSection data table (Streams)
