attributeName	attributeDefinition	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	class
Park	Four letter park code	NA	NA	NA	Not applicable or data not collected	character
SiteCode	Unique alphanumeric site code	NA	NA	NA	Not applicable or data not collected	character
SiteShort	Site code without the Park and Site Type prefix	NA	NA	NA	Not applicable or data not collected	character
SiteName	Descriptive name of the site	NA	NA	NA	Not applicable or data not collected	character
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	NA	NA	NA	Not applicable or data not collected	character
VisitDate	Date that the monitoring occured	NA	NA	NA	Not applicable or data not collected	Date
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown	NA	NA	NA	Not applicable or data not collected	character
SampleType	Type of sample: Routine, Field Blank, Field Replicate, Lab Duplicate	NA	NA	NA	Not applicable or data not collected	character
SampleCollectionMethod	Sample collection method: Kicknet, Dipnet, Other, Unknown	NA	NA	NA	Not applicable or data not collected	character
DPL	Data Processing Level: Raw - entered into database; Provisional - data have undergone the first review; Accepted - provisional data have gone through the data certification process	NA	NA	NA	Not applicable or data not collected	character
BMIMethod	BMI Sample collection method: EMAP, Channel, Shallow Pool, Large Pool, Multi-Pool Grab, Unkown	NA	NA	NA	Not applicable or data not collected	character
LabSampleNumber	Sample number assigned by the lab	NA	NA	NA	Not applicable or data not collected	character
DateCollected	Date and time of the sample collection	NA	NA	NA	Not applicable or data not collected	Date
FieldSplit	% sample submitted for processing	NA	NA	NA	Not applicable or data not collected	numeric
LabSplit	% sample processed to obtain 600 random individuals (if present)	NA	NA	NA	Not applicable or data not collected	numeric
SampleArea_m2	Total area sampled in square meters	meters^2	NA	NA	Not applicable or data not collected	numeric
Abundance	Estimated # of individuals per square meter for quantitative samples	NA	NA	NA	Not applicable or data not collected	numeric
Richness	# of unique taxa, standardized to operational taxonomic unit (OTU)	NA	NA	NA	Not applicable or data not collected	numeric
DominantTaxaPercent	([DominantTaxaAbundance]/[Abundance])*100	NA	NA	NA	Not applicable or data not collected	numeric
LabNotes	Notes from the lab	NA	NA	NA	Not applicable or data not collected	character
FieldNotes	Notes from the field	NA	NA	NA	Not applicable or data not collected	character
SplitCount	# of organisms randomly subsampled from [LabSplit] for identification	NA	NA	NA	Not applicable or data not collected	numeric
