attributeName	attributeDefinition	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	class
Park	Four letter park code	NA	NA	NA	Not applicable or data not collected	character
SiteShort	Site code without the Park and Site Type prefix	NA	NA	NA	Not applicable or data not collected	character
SiteCode	Unique alphanumeric site code	NA	NA	NA	Not applicable or data not collected	character
SiteName	Descriptive name of the site	NA	NA	NA	Not applicable or data not collected	character
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	NA	NA	NA	Not applicable or data not collected	character
VisitDate	Date of visit	NA	NA	NA	Not applicable or data not collected	Date
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	NA	NA	NA	Not applicable or data not collected	character
Transect	Transect where channel characteristics were observed; ordered alphabetically from downstream to upstream	NA	NA	NA	Not applicable or data not collected	character
TransectSide	Right, center, or left side of channel, or unknown or not applicable	NA	NA	NA	Not applicable or data not collected	character
ChannelType	Flow characteristic at the sample location: Pool, Glide, Riffle, Rapid	NA	NA	NA	Not applicable or data not collected	character
Substrate	Material along the bottom of the channel at the sample location: Fine/Sand, Gravel, Coarse, Other	NA	NA	NA	Not applicable or data not collected	character
Notes	Notes about the channel data	NA	NA	NA	Not applicable or data not collected	character
