attributeName	attributeDefinition	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	class
Park	Four letter park code	NA	NA	NA	Not applicable or data not collected	character
SiteShort	Site code without the Park and Site Type prefix	NA	NA	NA	Not applicable or data not collected	character
SiteCode	Unique alphanumeric site code	NA	NA	NA	Not applicable or data not collected	character
SiteName	Descriptive name of the site	NA	NA	NA	Not applicable or data not collected	character
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	NA	NA	NA	Not applicable or data not collected	character
SampleFrame	Type of hydrologic feature (e.g., lake, stream)	NA	NA	NA	Not applicable or data not collected	character
VisitDate	Date that the monitoring occured	NA	NA	NA	Not applicable or data not collected	Date
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown	NA	NA	NA	Not applicable or data not collected	character
SampleCollectionMethod	Sample Collection Method: Grab, Bottle, Composite, Other, Unknown	NA	NA	NA	Not applicable or data not collected	character
Characteristic	Water chemistry parameter code; e.g., UTP, SO42-	NA	NA	NA	Not applicable or data not collected	character
CharacteristicLabel	Water chemistry parameter description; e.g., total phosphorus, sulfate	NA	NA	NA	Not applicable or data not collected	character
LabValue	Measured value of water quality parameter	NA	NA	NA	Not applicable or data not collected	numeric
ReportingGroup	Water chemistry parameter reporting group: Nutrient, Ion, NA	NA	NA	NA	Not applicable or data not collected	character
SampleType	The type of sample: R - routine, FB - field blank, FR - field replicate, LD - lab duplicate	NA	NA	NA	Not applicable or data not collected	character
Flag	Data quality flag: No Flag, Information, Warning, Critical	NA	NA	NA	Not applicable or data not collected	character
FlagNote	Notes about the water chemistry parameter DQF	NA	NA	NA	Not applicable or data not collected	character
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	NA	NA	NA	Not applicable or data not collected	character
Unit	Water chemistry parameter unit; e.g., mg/L	NA	NA	NA	Not applicable or data not collected	character
