attributeName	attributeDefinition	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	class
Park	Four letter park code	NA	NA	NA	Not applicable or data not collected	character
SiteShort	Site code without the Park and Site Type prefix	NA	NA	NA	Not applicable or data not collected	character
SiteCode	Unique alphanumeric site code	NA	NA	NA	Not applicable or data not collected	character
SiteName	Descriptive name of the site	NA	NA	NA	Not applicable or data not collected	character
VisitDate	Date that the monitoring occured	NA	NA	NA	Not applicable or data not collected	Date
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	NA	NA	NA	Not applicable or data not collected	character
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown	NA	NA	NA	Not applicable or data not collected	character
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	NA	NA	NA	Not applicable or data not collected	character
SurveyType	Survey methodology [String, Theodolite]	NA	NA	NA	Not applicable or data not collected	character
BenchmarkUsed	NA	NA	NA	NA	Not applicable or data not collected	character
ClosureError_ft	NA	feet	NA	NA	Not applicable or data not collected	numeric
FinalElevation_ft	NA	feet	NA	NA	Not applicable or data not collected	numeric
