attributeName	code	definition
ChannelType	Label	Summary
ChannelType	Pool	Still water, low velocity, smooth
ChannelType	Glide	Water moving slowly with smooth unbroken surface; low turbulence
ChannelType	Riffle	Small ripples, waves, and eddies; babbling; surface tension is not broken
ChannelType	Rapid	Turbulent, intermittent white water, continuous rushing sound
DPL	Accepted	Data that have undergone all QA and QC procedures as defined in a published protocol and associated SOPs. Used in cases where a Quality Assurance Plan has not been developed and approved.
DPL	Provisional	Data that have undergone all planned QA procedures, have been entered into the system of record, and have passed verification procedures to ensure that data in the system of record match source data (field forms, sensor data files, etc.). Provisional data have not undergone all QC procedures
DPL	Raw	Data in their state of original collection, either in the form of paper or electronic field forms, eletronic sensor files, or digital media(photo, video, or audio). These data generally have been collected following some QA procedures, but have not undergone any QC procedures.
Park	CAMO	Castle Mountains National Monument
Park	DEVA	Death Valley National Park
Park	GRBA	Great Basin National Park
Park	JOTR	Joshua Tree National Park
Park	LAKE	Lake Mead National Recreation Area
Park	MANZ	Manzanar National Historic Site
Park	MOJA	Mojave National Preserve
Park	PARA	Grand Canyon-Parashant National Monument
Park	TUSK	Tule Springs Fossil Beds National Monument
Substrate	Fine/Sand	Up to ladybug size (2mm)
Substrate	Gravel	Ladybug to tennis ball size; 2mm - 64mm diameter
Substrate	Coarse	Tennis ball to car size; 64mm to 4000mm
Substrate	Other	Bedrock, wood, vegetation, describe in notes
TransectSide	Right	Right
TransectSide	Center	Center
TransectSide	Left	Left
TransectSide	Unknown	Unknown
TransectSide	Not Applicable	Not Applicable
Transect	A	Transect A
Transect	B	Transect B
Transect	C	Transect C
Transect	D	Transect D
Transect	E	Transect E
Transect	F	Transect F
Transect	G	Transect G
Transect	H	Transect H
Transect	I	Transect I
Transect	J	Transect J
Transect	K	Transect K
