attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteShort	Site code without the Park and Site Type prefix	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character	NA	NA	Empty string	Not applicable or data not collected
VisitDate	Date that the monitoring occured	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
SampleType	Type of sample: Routine, Field Blank, Field Replicate, Lab Duplicate	character	NA	NA	Empty string	Not applicable or data not collected
SampleCollectionMethod	Sample collection method: Kicknet, Dipnet, Other, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
DPL	Data Processing Level: Raw - entered into database; Provisional - data have undergone the first review; Accepted - provisional data have gone through the data certification process	character	NA	NA	Empty string	Not applicable or data not collected
BMIMethod	BMI Sample collection method: EMAP, Channel, Shallow Pool, Large Pool, Multi-Pool Grab, Unkown	character	NA	NA	Empty string	Not applicable or data not collected
LabSampleNumber	Sample number assigned by the lab	character	NA	NA	Empty string	Not applicable or data not collected
DateCollected	Date and time of the sample collection	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
FieldSplit	% sample submitted for processing	numeric	percent	NA	Empty string	Not applicable or data not collected
LabSplit	% sample processed to obtain 600 random individuals (if present)	numeric	percent	NA	Empty string	Not applicable or data not collected
SampleArea_m2	Total area sampled in square meters	numeric	meterSquared	NA	Empty string	Not applicable or data not collected
Abundance	Estimated # of individuals per square meter for quantitative samples	numeric	numberPerMeterSquared	NA	Empty string	Not applicable or data not collected
Richness	# of unique taxa, standardized to operational taxonomic unit (OTU)	numeric	number	NA	Empty string	Not applicable or data not collected
DominantTaxaPercent	([DominantTaxaAbundance]/[Abundance])*100	numeric	percent	NA	Empty string	Not applicable or data not collected
LabNotes	Notes from the lab	character	NA	NA	Empty string	Not applicable or data not collected
FieldNotes	Notes from the field	character	NA	NA	Empty string	Not applicable or data not collected
SplitCount	# of organisms randomly subsampled from [LabSplit] for identification	numeric	number	NA	Empty string	Not applicable or data not collected
FixedCount	# of computationally resampled organisms	numeric	number	NA	Empty string	Not applicable or data not collected
BigRareCount	# of """"""""big and rare"""""""" organisms selected non-randomly for identification from the sample	numeric	number	NA	Empty string	Not applicable or data not collected
ShannonsDiversity	Measure of richness and evenness (based on relative abundance of each species); weighted toward rare species	numeric	dimensionless	NA	Empty string	Not applicable or data not collected
SimpsonsDiversity	Measure of richness and evenness (based on relative abundance of each species); weighted toward common species	numeric	dimensionless	NA	Empty string	Not applicable or data not collected
Evenness	Measure of relative abundance indicative of taxa dominance [Shannon's Diversity]/ln([Richness])	numeric	dimensionless	NA	Empty string	Not applicable or data not collected
EPTTaxaCount	Richness of Ephemeroptera, Plecoptera, and Trichoptera taxa	numeric	number	NA	Empty string	Not applicable or data not collected
EPTTaxaAbundance	Abundance of Ephemeroptera, Plecoptera, and Trichoptera taxa	numeric	number	NA	Empty string	Not applicable or data not collected
DominantFamilyAbundance	Abundance of the dominant family	numeric	number	NA	Empty string	Not applicable or data not collected
DominantFamily	Taxonomic family with the highest abundance	character	NA	NA	Empty string	Not applicable or data not collected
DominantTaxa	Taxon with the highest abundance	character	NA	NA	Empty string	Not applicable or data not collected
DominantTaxaAbundance	Abundance of dominant taxon	numeric	number	NA	Empty string	Not applicable or data not collected
Hilsenhoff	Abundance-weighted average of family-level pollution tolerances	numeric	number	NA	Empty string	Not applicable or data not collected
