attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteShort	Site code without the Park and Site Type prefix	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character	NA	NA	Empty string	Not applicable or data not collected
SampleFrame	Type of hydrologic feature (e.g., lake, stream)	character	NA	NA	Empty string	Not applicable or data not collected
VisitDate	Date that the monitoring occured	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
SampleCollectionMethod	Sample Collection Method: Grab, Bottle, Composite, Other, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
Characteristic	Water chemistry parameter code; e.g., UTP, SO42-	character	NA	NA	Empty string	Not applicable or data not collected
CharacteristicLabel	Water chemistry parameter description; e.g., total phosphorus, sulfate	character	NA	NA	Empty string	Not applicable or data not collected
LabValue	Measured value of water quality parameter	numeric	number	NA	Empty string	Not applicable or data not collected
ReportingGroup	Water chemistry parameter reporting group: Nutrient, Ion, NA	character	NA	NA	Empty string	Not applicable or data not collected
SampleType	The type of sample: R - routine, FB - field blank, FR - field replicate, LD - lab duplicate	character	NA	NA	Empty string	Not applicable or data not collected
Flag	Data quality flag: No Flag, Information, Warning, Critical	character	NA	NA	Empty string	Not applicable or data not collected
FlagNote	Notes about the water chemistry parameter DQF	character	NA	NA	Empty string	Not applicable or data not collected
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	character	NA	NA	Empty string	Not applicable or data not collected
Unit	Water chemistry parameter unit; e.g., mg/L	character	NA	NA	Empty string	Not applicable or data not collected
