attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
Subunit	Section of the park where site is located	character	NA	NA	Empty string	Not applicable or data not collected
SiteShort	Site code without the Park and Site Type prefix	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
SiteLabel	Combination of [SiteShort] and [SiteName] for visualization purposes	character	NA	NA	Empty string	Not applicable or data not collected
SampleFrame	Type of hydrologic feature (e.g., lake, stream)	character	NA	NA	Empty string	Not applicable or data not collected
SiteProtectedStatus	Level of protection for sensitive resources	character	NA	NA	Empty string	Not applicable or data not collected
Lat_WGS84	Latitude in WGS84 coordinate system	numeric	degree	NA	Empty string	Not applicable or data not collected
Lon_WGS84	Longitude in WGS84 coordinate system	numeric	degree	NA	Empty string	Not applicable or data not collected
X_UTM_NAD83_11N	X UTM value in NAD83 coordinate system	numeric	meter	NA	Empty string	Not applicable or data not collected
Y_UTM_NAD83_11N	Y UTM value in NAD83 coordinate system	numeric	meter	NA	Empty string	Not applicable or data not collected
