attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	character	NA	NA	Empty string	Not applicable or data not collected
SiteShort	Site code without the Park and Site Type prefix	character	NA	NA	Empty string	Not applicable or data not collected
SiteCode	Unique alphanumeric site code	character	NA	NA	Empty string	Not applicable or data not collected
SiteName	Descriptive name of the site	character	NA	NA	Empty string	Not applicable or data not collected
VisitDate	Date that the monitoring occured	Date	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character	NA	NA	Empty string	Not applicable or data not collected
WQDataCollected	Yes or reason for sampling failure	character	NA	NA	Empty string	Not applicable or data not collected
MeasurementNum	Index of measurement	numeric	number	NA	Empty string	Not applicable or data not collected
MeasurementDepth_m	Depth to measurement location	numeric	meter	NA	Empty string	Not applicable or data not collected
SpecificConductance_microS_per_cm	Measured value of specific conductance in uS/cm	numeric	microsiemensPerCentimeter	NA	Empty string	Not applicable or data not collected
Flag	Data quality flag: No Flag, Information, Warning, Critical	character	NA	NA	Empty string	Not applicable or data not collected
FlagNote	Description of data quality issue	character	NA	NA	Empty string	Not applicable or data not collected
SpCondInstrument	Identifier for instrument used to measure specific conductance	character	NA	NA	Empty string	Not applicable or data not collected
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown	character	NA	NA	Empty string	Not applicable or data not collected
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	character	NA	NA	Empty string	Not applicable or data not collected
MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character	NA	NA	Empty string	Not applicable or data not collected
