attributeName	attributeDefinition	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	class
Park	Four letter park code	NA	NA	Empty string	Not applicable or data not collected	character
SiteShort	Site code without the Park and Site Type prefix	NA	NA	Empty string	Not applicable or data not collected	character
SiteCode	Unique alphanumeric site code	NA	NA	Empty string	Not applicable or data not collected	character
SiteName	Descriptive name of the site	NA	NA	Empty string	Not applicable or data not collected	character
VisitDate	Date that the monitoring occured	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected	Date
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	NA	NA	Empty string	Not applicable or data not collected	character
IsLakeDry	Binary observation of water presence/absence	NA	NA	Empty string	Not applicable or data not collected	character
SurfaceCalm	Is the surface calm - Yes, No, or NoData	NA	NA	Empty string	Not applicable or data not collected	character
OnBottom	Is Secchi disk visible on the bottom? Y - yes, N- no	NA	NA	Empty string	Not applicable or data not collected	character
DepthToBottom_m	Depth to the bottom of the lake (if applicable)	meter	NA	Empty string	Not applicable or data not collected	numeric
SecchiDepth_m	Depth where the Secchi disk becomes visible/invisible when ascending/descending (if applicable)	meter	NA	Empty string	Not applicable or data not collected	numeric
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown	NA	NA	Empty string	Not applicable or data not collected	character
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	NA	NA	Empty string	Not applicable or data not collected	character
