attributeName	attributeDefinition	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	class
Park	Four letter park code	NA	NA	Empty string	Not applicable or data not collected	character
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	NA	NA	Empty string	Not applicable or data not collected	character
SiteCode	Unique alphanumeric site code	NA	NA	Empty string	Not applicable or data not collected	character
VisitDate	Date that the monitoring occured	NA	YYYY-MM-DD	Empty string	Not applicable or data not collected	Date
VisitType	Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown	NA	NA	Empty string	Not applicable or data not collected	character
SampleFrame	Type of hydrologic feature (e.g., lake, stream)	NA	NA	Empty string	Not applicable or data not collected	character
pHFlag	Data quality flag: No Flag, Information, Warning, Critical	NA	NA	Empty string	Not applicable or data not collected	character
DOFlag	Data quality flag: No Flag, Information, Warning, Critical	NA	NA	Empty string	Not applicable or data not collected	character
SpCondFlag	Data quality flag: No Flag, Information, Warning, Critical	NA	NA	Empty string	Not applicable or data not collected	character
TemperatureFlag	Data quality flag: No Flag, Information, Warning, Critical	NA	NA	Empty string	Not applicable or data not collected	character
FlagNote	Description of data quality issue	NA	NA	Empty string	Not applicable or data not collected	character
DPL	Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]	NA	NA	Empty string	Not applicable or data not collected	character
TemperatureMedian_C	Median measured value of temperatue in celcius degrees	celsius	NA	Empty string	Not applicable or data not collected	numeric
TemperatureCount	Number of measurements taken	number	NA	Empty string	Not applicable or data not collected	numeric
pHMedian	Median measured value of pH	dimensionless	NA	Empty string	Not applicable or data not collected	numeric
pHCount	Number of measurements taken	number	NA	Empty string	Not applicable or data not collected	numeric
DOMedian_mg_per_L	Median measured value of DO in mg/L	milligramPerLiter	NA	Empty string	Not applicable or data not collected	numeric
DOmgLCount	Number of measurements taken	number	NA	Empty string	Not applicable or data not collected	numeric
SpCondMedian_microS_per_cm	Median measured value of specific conductance in uS/cm	microsiemensPerCentimeter	NA	Empty string	Not applicable or data not collected	numeric
SpCondCount	Number of measurements taken	number	NA	Empty string	Not applicable or data not collected	numeric
